92.800 C 170.9230 NaV Sodium
46.200 C 171.0760 NaV Sodium
43.300 C 174.00470 NaIV Sodium
51.000 E 177.240 NaII Sodium
60.700 C 181.75650 NaIV Sodium
33.300 D+ 181.76400 NaIV Sodium
24.200 C 182.12300 NaIV Sodium
84.400 D+ 182.13220 NaIV Sodium
20.400 D+ 182.13220 NaIV Sodium
31.000 D+ 182.28850 NaIV Sodium
0.443 D+ 188.1780 NaIV Sodium
5.420 D 188.8580 NaIII Sodium
33.400 D+ 188.87390 NaIII Sodium
30.700 D+ 189.34880 NaIII Sodium
93.900 C 190.13000 NaIV Sodium
2.720 B 190.4230 NaIV Sodium
23.100 B 190.43370 NaIV Sodium
82.100 B+ 190.44530 NaIV Sodium
35.600 B 190.82730 NaIV Sodium
58.700 B 190.83590 NaIV Sodium
43.300 B 190.99920 NaIV Sodium
0.642 D+ 192.5510 NaIV Sodium
205.000 B+ 199.77220 NaIV Sodium
14.000 C 202.14990 NaIII Sodium
72.100 C+ 202.18620 NaIII Sodium
159.000 C+ 202.49470 NaIII Sodium
64.000 C 202.7090 NaIII Sodium
67.200 C 202.7210 NaIII Sodium
126.000 C+ 202.76450 NaIII Sodium
103.000 C 203.0550 NaIII Sodium
92.400 C 203.2840 NaIII Sodium
27.300 C 203.3260 NaIII Sodium
95.400 C 203.95770 NaIV Sodium
139.000 B+ 205.48690 NaIV Sodium
81.900 B 205.95460 NaIV Sodium
27.200 B 206.15330 NaIV Sodium
51.600 C+ 214.22370 NaIII Sodium
33.300 C+ 214.58850 NaIII Sodium
56.500 C 214.8600 NaIII Sodium
44.900 C 215.0470 NaIII Sodium
60.600 C 215.0820 NaIII Sodium
60.800 C+ 215.2180 NaIII Sodium
16.500 D+ 215.2280 NaIII Sodium
0.636 D 215.3240 NaIII Sodium
53.100 C+ 215.3400 NaIII Sodium
6.980 D+ 215.48190 NaIII Sodium
22.100 C 215.6590 NaIII Sodium
97.800 C+ 215.6830 NaIII Sodium
17.200 D+ 215.86070 NaIII Sodium
0.303 E 215.9640 NaIII Sodium
15.700 D+ 216.11870 NaIII Sodium
0.123 C 217.0430 NaIII Sodium
0.244 C+ 217.11400 NaIII Sodium
0.068 C 217.19820 NaIII Sodium
0.255 C 217.68610 NaIII Sodium
0.049 D 217.7570 NaIII Sodium
29.100 C 229.86930 NaIII Sodium
15.900 C 230.59330 NaIII Sodium
6.100 B+ 250.51680 NaIII Sodium
44.900 B+ 250.51680 NaIII Sodium
38.700 B+ 251.37200 NaIII Sodium
39.000 B+ 266.89650 NaIII Sodium
96.700 B+ 267.64580 NaIII Sodium
75.600 B+ 267.87400 NaIII Sodium
17.700 B+ 268.62610 NaIII Sodium
0.013 D 272.0760 NaIII Sodium
0.337 C 272.44920 NaIII Sodium
0.146 D+ 273.08960 NaIII Sodium
0.020 D+ 273.1030 NaIII Sodium
0.035 D+ 273.46770 NaIII Sodium
9.480 D 297.4820 NaV Sodium
12.000 D 300.1530 NaII Sodium
4.000 D 300.2020 NaII Sodium
3.620 D 301.3180 NaII Sodium
33.000 D+ 301.4360 NaII Sodium
0.595 B 302.4460 NaII Sodium
210.000 A 307.1520 NaV Sodium
196.000 A 308.2640 NaV Sodium
27.900 A 311.9210 NaVI Sodium
83.700 A 312.6080 NaVI Sodium
140.000 A 313.7480 NaVI Sodium
157.000 A 317.6410 NaVI Sodium
252.000 B+ 319.64360 NaIV Sodium
36.000 B+ 332.5500 NaV Sodium
45.300 A 333.9100 NaV Sodium
20.300 B+ 350.6450 NaVII Sodium
74.100 A 352.2750 NaVII Sodium
98.800 A 353.2940 NaVII Sodium
42.300 B+ 354.9500 NaVII Sodium
41.900 B+ 360.3190 NaV Sodium
75.400 A 360.3670 NaV Sodium
13.800 B+ 360.7600 NaIV Sodium
115.000 A 361.2500 NaVI Sodium
36.900 A 362.4440 NaVI Sodium
94.900 A 363.7740 NaVI Sodium
70.700 A 364.4770 NaVI Sodium
80.200 A 366.1100 NaVI Sodium
15.400 A 366.2400 NaVI Sodium
88.200 A 367.5570 NaV Sodium
79.100 A 369.7430 NaV Sodium
31.300 B+ 372.0750 NaII Sodium
1.700 C 376.3790 NaII Sodium
84.200 B+ 378.1360 NaIII Sodium
25.200 A 378.220 NaVII Sodium
41.300 B+ 380.1000 NaIII Sodium
37.000 A 381.3000 NaVII Sodium
16.700 D+ 383.7830 NaVI Sodium
43.900 A 385.0610 NaVII Sodium
50.600 A 385.2540 NaVII Sodium
18.400 A 396.3350 NaVII Sodium
36.400 A 397.4900 NaVII Sodium
53.900 A 399.1820 NaVII Sodium
48.200 A 400.7220 NaV Sodium
48.700 A 400.7220 NaV Sodium
6.400 D 403.2830 NaV Sodium
2.550 E 403.2830 NaV Sodium
26.600 B+ 408.68360 NaIV Sodium
63.400 B+ 409.61420 NaIV Sodium
47.300 B+ 410.37150 NaIV Sodium
15.700 B+ 410.54110 NaIV Sodium
44.000 B+ 411.1450 NaVIII Sodium
20.900 B+ 411.33430 NaIV Sodium
15.500 B+ 412.24180 NaIV Sodium
12.500 A 414.3700 NaVI Sodium
8.790 A 415.5050 NaVI Sodium
28.900 A 417.5950 NaVI Sodium
10.500 A 421.4650 NaVI Sodium
15.700 A 423.8210 NaVI Sodium
147.000 A 436.960 NaVI Sodium
5.830 B+ 445.0460 NaV Sodium
7.500 B+ 445.1900 NaV Sodium
22.000 B+ 459.8970 NaV Sodium
21.900 B+ 461.0510 NaV Sodium
21.500 B+ 463.2630 NaV Sodium
25.400 A 483.2160 NaVII Sodium
27.100 A 483.3280 NaVII Sodium
11.700 A 486.7400 NaVII Sodium
8.270 A 489.5800 NaVI Sodium
5.630 A 491.2400 NaVI Sodium
11.000 A 491.3400 NaVI Sodium
13.300 A 491.9500 NaVII Sodium
9.090 A 492.3290 NaVIII Sodium
65.900 A 492.790 NaVIII Sodium
12.000 A 494.000 NaVIII Sodium
3.030 A 494.1600 NaVI Sodium
13.800 A 494.3820 NaVI Sodium
8.890 A 495.810 NaVIII Sodium
26.600 A+ 496.2490 NaVIII Sodium
6.200 D 497.2730 NaVI Sodium
35.100 A 497.840 NaVIII Sodium
14.500 A 499.780 NaVIII Sodium
37.000 B+ 510.1020 NaV Sodium
44.800 B+ 511.1930 NaV Sodium
8.460 B+ 514.3500 NaV Sodium
56.000 A 516.000 NaVI Sodium
13.200 A 632.900 NaVI Sodium
12.700 A 638.210 NaVI Sodium
5.860 A 641.870 NaVI Sodium
6.600 AA 681.7250 NaIX Sodium
6.230 AA 694.1300 NaIX Sodium
0.830 E 699.0930 NaVI Sodium
2.810 D+ 719.4910 NaV Sodium
5.480 B+ 777.830 NaVII Sodium
6.170 B+ 786.350 NaVII Sodium
0.000 D 789.7800 NaVIII Sodium
2.990 D+ 810.1830 NaVI Sodium
0.492 D 831.8680 NaV Sodium
0.197 E 831.8680 NaV Sodium
6.660 A+ 847.910 NaVIII Sodium
0.000 C+ 869.600 NaVII Sodium
0.000 C+ 872.120 NaVII Sodium
0.000 C+ 880.330 NaVII Sodium
1.270 A 1111.7590 NaX Sodium
2.290 B 1325.7000 NaIII Sodium
4.270 D 1336.7600 NaIII Sodium
1.610 B 1337.3580 NaIII Sodium
1.280 C+ 1337.9950 NaIII Sodium
2.290 D 1340.6740 NaIII Sodium
0.844 E 1342.3900 NaIII Sodium
1.060 C+ 1342.7290 NaIII Sodium
3.440 D+ 1355.2810 NaIII Sodium
