0.643  542.8260 MoVI Molybdenum
1.400 E 545.3760 MoV Molybdenum
3.000 E 547.5940 MoV Molybdenum
63.500  548.2330 MoVI Molybdenum
1.300 E 549.7150 MoV Molybdenum
2.600 E 556.5430 MoV Molybdenum
8.000 E 562.4040 MoV Molybdenum
1.500 E 564.6850 MoV Molybdenum
32.000  565.3220 MoVI Molybdenum
33.300  566.6210 MoVI Molybdenum
40.000 E 569.3350 MoV Molybdenum
13.000 E 576.8020 MoV Molybdenum
25.000 D 585.6940 MoV Molybdenum
33.000 E 586.2640 MoV Molybdenum
16.000 E 589.2590 MoV Molybdenum
9.000 E 591.1920 MoV Molybdenum
14.000 E 597.7110 MoV Molybdenum
29.000 D 602.6760 MoV Molybdenum
72.000 B 604.6040 MoV Molybdenum
0.150 E 611.3940 MoV Molybdenum
6.000 E 620.7350 MoV Molybdenum
24.000 D 623.0990 MoV Molybdenum
5.000 E 623.9500 MoV Molybdenum
15.000 E 626.8090 MoV Molybdenum
34.000 C 627.4500 MoV Molybdenum
0.320 E 631.7910 MoV Molybdenum
0.180 E 633.5040 MoV Molybdenum
1.500 E 638.5020 MoV Molybdenum
2.300 E 638.7250 MoV Molybdenum
0.700 E 638.9760 MoV Molybdenum
1.000 E 639.9010 MoV Molybdenum
4.000 E 642.8600 MoV Molybdenum
17.000 E 645.9030 MoV Molybdenum
2.700 E 647.5850 MoV Molybdenum
35.000 E 648.3440 MoV Molybdenum
7.000 E 649.7270 MoV Molybdenum
5.000 E 650.6640 MoV Molybdenum
1.300 E 651.6550 MoV Molybdenum
17.800  652.0720 MoVI Molybdenum
0.240 E 653.4240 MoV Molybdenum
18.600  653.8570 MoVI Molybdenum
0.600 E 656.7860 MoV Molybdenum
11.000 E 657.6030 MoV Molybdenum
18.000 C 659.3030 MoV Molybdenum
0.600 E 660.2270 MoV Molybdenum
0.800 E 661.3170 MoV Molybdenum
1.300 E 661.3960 MoV Molybdenum
1.170 B 661.8300 MoV Molybdenum
0.800 E 664.6690 MoV Molybdenum
9.000 E 665.1350 MoV Molybdenum
38.000 C 668.0810 MoV Molybdenum
27.000 C 668.2880 MoV Molybdenum
19.000 C 668.3720 MoV Molybdenum
47.000 C 671.3720 MoV Molybdenum
13.000 E 671.8200 MoV Molybdenum
18.000 D 672.1830 MoV Molybdenum
8.000 E 676.4140 MoV Molybdenum
0.015 E 677.0040 MoV Molybdenum
2.800 E 677.2220 MoV Molybdenum
12.000 E 680.3810 MoV Molybdenum
0.013 E 680.6670 MoV Molybdenum
0.400 E 682.8290 MoV Molybdenum
12.000 E 682.9360 MoV Molybdenum
7.000 E 684.7200 MoV Molybdenum
7.600 B 687.4940 MoV Molybdenum
0.080 E 687.7570 MoV Molybdenum
37.000 E 688.4550 MoV Molybdenum
10.000 E 690.5590 MoV Molybdenum
26.000 C 692.3100 MoV Molybdenum
62.000 C 696.8460 MoV Molybdenum
5.000 E 698.2830 MoV Molybdenum
1.000 E 700.0350 MoV Molybdenum
6.000 E 709.1000 MoV Molybdenum
0.800 E 709.1930 MoV Molybdenum
8.000 E 713.4920 MoV Molybdenum
2.300 E 716.1740 MoV Molybdenum
1.500 E 717.3260 MoV Molybdenum
0.070 E 721.0880 MoV Molybdenum
4.000 E 721.8210 MoV Molybdenum
0.320 E 725.6630 MoV Molybdenum
3.900 B 725.7590 MoV Molybdenum
1.000 E 725.7590 MoV Molybdenum
1.000 E 729.1750 MoV Molybdenum
1.700 E 730.2610 MoV Molybdenum
12.000 D 731.0690 MoV Molybdenum
0.600 E 731.6030 MoV Molybdenum
0.700 E 741.6120 MoV Molybdenum
1.700 E 748.6830 MoV Molybdenum
4.420  754.9570 MoVI Molybdenum
4.840  757.4130 MoVI Molybdenum
21.600  761.0160 MoVI Molybdenum
66.600  780.4320 MoVI Molybdenum
69.400  782.9180 MoVI Molybdenum
38.400  790.6600 MoVI Molybdenum
7.300 B 803.0870 MoV Molybdenum
1.500 E 817.0060 MoV Molybdenum
0.004 E 817.4260 MoV Molybdenum
5.000 E 817.8250 MoV Molybdenum
5.000 E 818.4060 MoV Molybdenum
3.200 E 819.6110 MoV Molybdenum
3.000 E 827.1880 MoV Molybdenum
9.000 E 827.2960 MoV Molybdenum
1.100 E 830.0820 MoV Molybdenum
8.900 C 838.0490 MoV Molybdenum
10.100 C 840.0090 MoV Molybdenum
0.410 B 841.1960 MoV Molybdenum
2.800 E 843.6320 MoV Molybdenum
2.200 E 873.4910 MoV Molybdenum
0.600 E 873.8730 MoV Molybdenum
1.700 E 875.7720 MoV Molybdenum
1.600 E 891.3020 MoV Molybdenum
14.300  899.1230 MoVI Molybdenum
0.170 E 899.1920 MoV Molybdenum
2.400 E 905.2520 MoV Molybdenum
0.998  905.5150 MoVI Molybdenum
0.070 E 921.7080 MoV Molybdenum
7.000 D 930.3320 MoV Molybdenum
1.700 E 932.3090 MoV Molybdenum
6.000 E 933.2780 MoV Molybdenum
7.000 D 933.7340 MoV Molybdenum
2.900 E 940.4630 MoV Molybdenum
3.400 E 941.1980 MoV Molybdenum
0.600 E 941.3600 MoV Molybdenum
3.300 E 947.7220 MoV Molybdenum
8.400 C 948.0370 MoV Molybdenum
0.320 E 948.2100 MoV Molybdenum
4.640  950.2630 MoVI Molybdenum
7.000 E 950.7800 MoV Molybdenum
5.450  950.8550 MoVI Molybdenum
1.100 E 957.8280 MoV Molybdenum
1.600 E 960.4450 MoV Molybdenum
0.360 E 963.5750 MoV Molybdenum
