(1720186.68841) AA 5813.322512000 BeIV Beryllium
(1720184.50175) AA 5813.329901000 BeIV Beryllium
(1707247.04668) AA 5857.383101000 BeIV Beryllium
(1707243.57429) AA 5857.395014000 BeIV Beryllium
(1685787.023070) AA 5931.947431000 BeIV Beryllium
(1685781.02269) AA 5931.968545000 BeIV Beryllium
(1646280.88582) AA 6074.297580000 BeIV Beryllium
(1646269.16610) AA 6074.340822000 BeIV Beryllium
(1560928.30867) AA 6406.444130000 BeIV Beryllium
(1560900.52810) AA 6406.558150000 BeIV Beryllium
(1317073.002568) AA 7592.593562000 BeIV Beryllium
(1316979.24398) AA 7593.134095000 BeIV Beryllium
137218.78 A 94981.7000 BeII Beryllium
137218.78 A 94975.7000 BeII Beryllium
105090a  95160.00 BeI Beryllium
104410a  95780.00 BeI Beryllium
104181a  95987.000 BeI Beryllium
1081700+x  96060.00 BeII Beryllium
1081700+x  96060.00 BeII Beryllium
1081700+x  96060.00 BeII Beryllium
1081700+x  96060.00 BeII Beryllium
1081700+x  96060.00 BeII Beryllium
1081700+x  96060.00 BeII Beryllium
1081700+x  96060.00 BeII Beryllium
103330a  96780.00 BeI Beryllium
102891a  97190.000 BeI Beryllium
134681.15 AA 97321.3000 BeII Beryllium
134681.15 AA 97327.6000 BeII Beryllium
134681.15 AA 97327.6000 BeII Beryllium
1079485.0+x  98148.000 BeII Beryllium
1079485.0+x  98148.000 BeII Beryllium
1079485.0+x  98148.000 BeII Beryllium
1079485.0+x  98148.000 BeII Beryllium
1079485.0+x  98148.000 BeII Beryllium
1079485.0+x  98148.000 BeII Beryllium
1079485.0+x  98148.000 BeII Beryllium
1079485.0+x  98148.000 BeII Beryllium
133556.44 A 98398.4000 BeII Beryllium
133556.44 A 98404.7000 BeII Beryllium
101400a  98620.00 BeI Beryllium
100568a  99435.000 BeI Beryllium
1092460  100650.00 BeII Beryllium
1092460  100650.00 BeII Beryllium
1092460  100650.00 BeII Beryllium
1032653.6+x  101980.00 BeII Beryllium
1032653.6+x  101980.00 BeII Beryllium
1032653.6+x  101980.00 BeII Beryllium
97600a  102500.0 BeI Beryllium
129310.13 AA 102689.0000 BeII Beryllium
129310.25 AA 102695.8000 BeII Beryllium
129310.13 AA 102696.0000 BeII Beryllium
96497.288 AA 103629.9000 BeII Beryllium
96495.360 AA 103631.9000 BeII Beryllium
95644a  104554.000 BeI Beryllium
127335.12 A 104814.8000 BeII Beryllium
127335.12 A 104822.0000 BeII Beryllium
1221135. AAA 107030.00 BeIII Beryllium
1077320  111170.00 BeII Beryllium
1077320  111170.00 BeII Beryllium
1077320  111170.00 BeII Beryllium
1077320  111170.00 BeII Beryllium
1221090. AAA 111470.00 BeIII Beryllium
1221090. AAA 111470.00 BeIII Beryllium
1221090. AAA 111470.00 BeIII Beryllium
1221090. AAA 111470.00 BeIII Beryllium
1221090. AAA 111470.00 BeIII Beryllium
1221090. AAA 111470.00 BeIII Beryllium
1221135. AAA 111520.00 BeIII Beryllium
1221090. AAA 111570.00 BeIII Beryllium
1221090. AAA 111570.00 BeIII Beryllium
88200a  113400.0 BeI Beryllium
119421.20 AA 114295.6000 BeII Beryllium
119421.44 AA 114303.8000 BeII Beryllium
119421.20 AA 114304.2000 BeII Beryllium
1064092.3+x  115610.00 BeII Beryllium
1064092.3+x  115610.00 BeII Beryllium
1064092.3+x  115610.00 BeII Beryllium
1064092.3+x  115610.00 BeII Beryllium
1064092.3+x  115610.00 BeII Beryllium
1064092.3+x  115610.00 BeII Beryllium
1064092.3+x  115610.00 BeII Beryllium
1213931. AAA 115970.00 BeIII Beryllium
(1646280.86620) AA 117122.98431000 BeIV Beryllium
(1646280.88582) AA 117125.4105000 BeIV Beryllium
(1646269.92250) AA 117137.99858000 BeIV Beryllium
(1646269.16610) AA 117141.4902000 BeIV Beryllium
(1646284.76436) AA 117155.69178000 BeIV Beryllium
(1646284.77140) AA 117155.74521000 BeIV Beryllium
(1646280.88582) AA 117161.01550000 BeIV Beryllium
(1646280.86620) AA 117161.10553000 BeIV Beryllium
(1646286.71678) AA 117165.71802000 BeIV Beryllium
(1646284.76436) AA 117168.39832000 BeIV Beryllium
(1646280.88582) AA 117173.72319000 BeIV Beryllium
(1646269.92250) AA 117176.12957000 BeIV Beryllium
(1646269.16610) AA 117177.10502000 BeIV Beryllium
1077320  118750.00 BeII Beryllium
1077320  118750.00 BeII Beryllium
1077320  118750.00 BeII Beryllium
115464.44 AA 119709.3000 BeII Beryllium
115464.44 AA 119718.7000 BeII Beryllium
1213931. AAA 121260.00 BeIII Beryllium
1213815. AAA 121310.00 BeIII Beryllium
1213815. AAA 121310.00 BeIII Beryllium
1213815. AAA 121310.00 BeIII Beryllium
1213815. AAA 121310.00 BeIII Beryllium
1213815. AAA 121310.00 BeIII Beryllium
1213815. AAA 121310.00 BeIII Beryllium
1213813. AAA 121320.00 BeIII Beryllium
1213813. AAA 121320.00 BeIII Beryllium
1213815. AAA 121430.00 BeIII Beryllium
1213815. AAA 121430.00 BeIII Beryllium
1213813. AAA 121430.00 BeIII Beryllium
1201060. AAA 125190.00 BeIII Beryllium
1201060. AAA 125190.00 BeIII Beryllium
1201060. AAA 125190.00 BeIII Beryllium
74504.1  134220.8000 BeI Beryllium
74380.7  134443.5000 BeI Beryllium
74221.1  134732.6000 BeI Beryllium
1201894. AAA 134790.00 BeIII Beryllium
74009.2  135118.3000 BeI Beryllium
73719.4 C 135649.5000 BeI Beryllium
1201702. AAA 136240.00 BeIII Beryllium
1201702. AAA 136240.00 BeIII Beryllium
1201702. AAA 136240.00 BeIII Beryllium
1201702. AAA 136240.00 BeIII Beryllium
1201702. AAA 136240.00 BeIII Beryllium
1201702. AAA 136240.00 BeIII Beryllium
73309.16 D 136408.60000 BeI Beryllium
73309.7 C 136407.6000 BeI Beryllium
72701.8 C 137548.2000 BeI Beryllium
71746.17 C 139380.26000 BeI Beryllium
1199650. AAA 140150.00 BeIII Beryllium
1199650. AAA 140150.00 BeIII Beryllium
1199650. AAA 140150.00 BeIII Beryllium
1201894. AAA 141980.00 BeIII Beryllium
1201730. AAA 142150.00 BeIII Beryllium
1201730. AAA 142150.00 BeIII Beryllium
1201730. AAA 142150.00 BeIII Beryllium
1201730. AAA 142150.00 BeIII Beryllium
1201730. AAA 142150.00 BeIII Beryllium
1201730. AAA 142150.00 BeIII Beryllium
1201742. AAA 142130.00 BeIII Beryllium
1201742. AAA 142130.00 BeIII Beryllium
1201742. AAA 142290.00 BeIII Beryllium
1201730. AAA 142310.00 BeIII Beryllium
1201730. AAA 142310.00 BeIII Beryllium
70120.59 C 142611.46000 BeI Beryllium
1201060. AAA 143520.00 BeIII Beryllium
1201060. AAA 143520.00 BeIII Beryllium
1201060. AAA 143520.00 BeIII Beryllium
1201060. AAA 143520.00 BeIII Beryllium
1201060. AAA 143520.00 BeIII Beryllium
1201060. AAA 143520.00 BeIII Beryllium
1201800. AAA 144070.00 BeIII Beryllium
67034.80 D 149176.25000 BeI Beryllium
98054.57 AA 151226.8000 BeII Beryllium
98055.10 AA 151240.7000 BeII Beryllium
98054.57 AA 151241.9000 BeII Beryllium
(1707247.04076) AA 163993.90854000 BeIV Beryllium
(1707247.04668) AA 163995.9269000 BeIV Beryllium
(1707243.79888) AA 164002.62772000 BeIV Beryllium
(1707243.57429) AA 164005.2663000 BeIV Beryllium
(1707248.19575) AA 164022.2735000 BeIV Beryllium
(1707248.19786) AA 164022.32057000 BeIV Beryllium
(1707247.04668) AA 164025.3649000 BeIV Beryllium
(1707247.04076) AA 164025.43362000 BeIV Beryllium
(1707248.773150) AA 164031.20790000 BeIV Beryllium
(1707248.77425) AA 164031.2239000 BeIV Beryllium
(1707248.19786) AA 164032.75580000 BeIV Beryllium
(1707248.19575) AA 164032.7804000 BeIV Beryllium
(1707243.79888) AA 164034.15615000 BeIV Beryllium
(1707243.57429) AA 164034.7077000 BeIV Beryllium
(1707249.120240) AA 164035.52735000 BeIV Beryllium
(1707247.04076) AA 164035.86924000 BeIV Beryllium
(1707247.04668) AA 164035.8723000 BeIV Beryllium
(1707248.773150) AA 164036.46129000 BeIV Beryllium
(1707248.19786) AA 164038.00929000 BeIV Beryllium
60187.4434 A 166147.61000 BeI Beryllium
58907.472 D 169757.75000 BeI Beryllium
1178174. AAA 175470.00 BeIII Beryllium
1178174. AAA 175470.00 BeIII Beryllium
1178174. AAA 175470.00 BeIII Beryllium
88231.915 AA 177609.9000 BeII Beryllium
88231.915 AA 177630.6000 BeII Beryllium
74414.6  190708.000 BeI Beryllium
74415  190708.000 BeI Beryllium
74414.6  190710.000 BeI Beryllium
74416  190713.000 BeI Beryllium
74415  190717.000 BeI Beryllium
74414.6  190718.000 BeI Beryllium
984170+x  190950.00 BeI Beryllium
984170+x  190950.00 BeI Beryllium
984170+x  190950.00 BeI Beryllium
74267.4  191244.000 BeI Beryllium
74268  191245.000 BeI Beryllium
74267.4  191247.000 BeI Beryllium
74269  191249.000 BeI Beryllium
74268  191253.000 BeI Beryllium
74267.4  191255.000 BeI Beryllium
1179830. AAA 191850.00 BeIII Beryllium
74069.3  191972.000 BeI Beryllium
74070  191971.000 BeI Beryllium
74069.3  191974.000 BeI Beryllium
74071  191976.000 BeI Beryllium
74070  191980.000 BeI Beryllium
74069.3  191983.000 BeI Beryllium
